FSC-A,SSC-A,DC-SIGN,HLA-DR,CD56,CCR6,CD45RA,CD4,CD69,CD8a,FoxP3,CD16,CD14,CD49a,CD163,CD3,CCR7,RORyt,T-bet,NKp46,CD11c,CD127,CD86,CD20,Eomes
1.47E+06,314412,1588.24,-1434.34,-173.926,11656.8,23154.4,266.678,-19.8034,23008.5,3270.49,1601.76,248.277,2010.86,-1334.94,17253.7,1625.99,3871.64,4808.89,619.187,-655.597,13884,512.581,2538.6,-2252.53
1.32E+06,339313,-1300.69,68601.2,-676.554,-1594.22,64439.5,-659.164,964.643,1063.42,801.137,252.256,-141.828,360.089,-899.593,4207.52,-872.613,1576,23250.4,461.541,8523.09,-44.2771,2523.08,70496.1,4806.52
1.30E+06,281329,-212.565,-229.393,-169.525,-2316.31,46574.3,13660.8,358.439,120.241,-380.176,-162.489,-140.814,-784.735,311.725,6596.96,481.924,1744.23,480.286,-217.619,-930.665,8460.72,-487.847,474.708,8192.3
1.50E+06,473228,1211.04,67604.5,595.504,-1500.55,435051,-351.195,1561.44,1706.36,327.188,1049.44,1003.09,1828.3,78.9755,8837.11,-1203.02,-3744.46,21469.6,447.617,4988.17,2128.38,4621.5,60783.7,6257.41
1.42E+06,410568,-1242.12,-460.441,294.272,-2293.61,337267,-2723.77,3898.84,773.144,1411.22,32578.5,1403.26,1847.69,-341.109,2006.87,-534.492,4128.83,52658.8,411.641,1572.18,-1976.15,64.5806,2180.09,-434.194
1.21E+06,1.38E+06,9518.98,56452.6,181906,-4256.17,5929.06,-10.9278,-157.196,-258.704,-62.0638,642.347,28037.7,-549.366,4344.96,2792.92,-117.895,6767.93,1958.47,1667.94,621.032,2054.63,1397.69,-384.583,5289.19
1.34E+06,280637,857.841,-830.848,-319.768,-821.914,56518.2,15055.3,-406.765,359.257,161.506,-631.711,-758.249,1743.77,-342.737,30383.6,7071.65,2453.5,609.479,-248.511,-1376.7,15671.5,54.9394,617.056,-343.95
1.56E+06,349513,-587.585,1047.22,101.76,-4173.39,415765,-622.321,920.586,1805.04,703.246,1453.73,543.908,2164.76,-368.362,13478.3,3375.42,-5547.48,1183.45,-520.268,692.709,724.125,457.458,605.897,3907.53
1.09E+06,378747,5879.8,105015,1277.87,-4148.14,138460,-897.34,-2895.85,-2291.03,-759.993,-986.246,501.579,323.116,-1518.49,5384.54,3969.3,2917.59,2931.35,282.376,13017.7,3065.44,793.479,142623,-3024.58
1.61E+06,344149,-315.495,143.06,75.2213,1903.73,48077.2,11170.2,779.032,2660.16,787.833,215.056,770.849,356.864,369.956,10013.4,-7.29369,1729.7,40697.3,100.418,111.044,3643.08,-169.905,710.205,666.296
1.36E+06,319522,1252.27,70355.9,265.24,6486.06,131709,-836.1,1744.32,240.113,356.986,216.548,759.171,535.414,-1362.4,2223.89,197.182,-1511.21,2362.61,153.848,799.788,788.236,395.053,34019,-611.641
1.25E+06,372660,2519.89,54843.3,632.634,-2543.82,46979,-278.861,-641.453,455.641,-222.13,-971.153,218.113,-872.141,-1232.96,-2040.5,595.838,3469.32,35970.9,-351.526,11616.9,-2236.71,1125.38,39123.7,-1237.54
1.70E+06,544637,125.579,1384.1,-1549.31,35960.8,4250.88,281.196,6208.15,203465,1456.16,1928.29,1602.39,1927.6,-261.884,14965.7,2297.79,5400.33,2681.87,1105.6,-85.1314,30086.1,-108.317,1005.89,456.507
1.85E+06,599447,2824.63,69100.9,-626.933,-1107.33,40303.5,-279.419,-156.152,2156.28,-64.5007,-412.679,-582.589,162.291,-1739.66,816.348,-410.442,3476.33,7770.17,-505.929,17113.9,-345.092,6632.03,49330.6,-155.294
1.03E+06,342085,-1207.06,129.764,-140.137,-2989.71,161632,-265.324,775.8,86258.6,511.07,421.439,830.972,294.424,294.535,9925.58,1920.81,3464.28,25089.9,198.906,-214.253,976.849,38.2859,-709.426,375.828
1.29E+06,459358,14.9214,56120.1,505.965,-4809.34,296741,-660.825,1845.48,-58.6252,4898.11,1986.12,2251.32,2393.02,1085.69,9811.4,2257.26,627.535,4179.74,-230.186,1222.52,2787.7,261.097,26781,713.247
1.23E+06,324852,-635.145,-121.706,90.5008,303.201,15257.1,15089.9,131.555,1306.31,520.768,-1427.07,-477.951,150.685,-200.814,21977.4,11095.4,2047.14,279.802,-496.386,-1505.22,21196.7,150.298,543.837,630.9
1.15E+06,357882,-808.253,-87.0647,253.981,-2734.94,8763.81,20845,-733.018,-251.899,-299.066,302.573,1034.06,8929.72,422.671,36399.1,7586.25,2269.24,1820.22,354.926,25.8968,11488.5,-529.355,-789.693,60.3949
1.43E+06,395593,703.549,-692.364,104.168,-1802.85,17889,20407.6,-598.894,656.657,603.439,-248.797,172.727,1.048,148.903,28747.8,8338.92,1654.29,2465.41,406.383,-505.375,29503.7,211.821,-163.448,-872.954
1.58E+06,316570,-385.888,-1022.55,-340.375,-2151.57,61327,26681,84.4136,1148.7,221.588,-1282.42,-823.363,-330.867,-16.1531,41492.5,6303.63,2480.74,1579.77,-484.97,-1299.95,17503.3,825.492,432.34,-250.532
1.64E+06,505023,-430.142,168.459,632.137,-2819.79,1394.71,21945.4,502.09,-362.269,-121.246,65.5695,-242.628,650.497,-1325.88,5224.95,697.404,2146.22,1257.79,326.096,95.5812,3339.38,241.111,685.327,517.405
1.05E+06,315243,-162.095,66263.2,-321.727,-3769.44,162304,-142.458,1170.87,1278.69,3812.77,-812.65,104.612,5926.93,-568.665,4859.15,317.324,-1157.33,11097.4,333.242,2089.96,755.392,790.018,35988.1,1635.56
1.19E+06,363376,-534.052,1468,90.9651,-2758.27,222481,-1856.04,938.91,96644.2,532.144,-218.045,574.556,442.994,-791.625,5784.74,1299.6,-2064.2,33233.1,-862.051,873.594,-317.409,699.754,953.241,694.811
1.09E+06,255726,-228.122,-580.159,-4.31582,-3392.7,54558.1,26049,1616.42,18.8106,2073.42,575.895,319.674,4564.5,-201.637,70610,15908.6,82.6327,666.119,808.113,-164.255,31921,-1045.77,-318.443,-1860.01
1.16E+06,357524,-1455.04,656.078,-421.096,287.689,380259,-797.503,2218.87,61832,933.667,48.0294,1187.84,1493.3,-411.421,15487.1,1303.22,-1492.88,7798.65,553.961,137.448,-291.912,149.593,-25.5594,5294.29
1.77E+06,363137,2449.73,66664.9,-232.186,-1848.02,87545.1,759.436,-808.936,908.444,149.435,-615.212,-17.5435,-64.9832,-1514.08,1225.12,114.429,832.509,27399.5,-1221.74,11394.5,-1086.76,4725.87,54047.4,-252.29
2.11E+06,387245,1064.75,88443,-304.599,-1476.72,22976.6,-372.826,-1414.74,425.445,-104.252,-905.091,-522.86,-585.225,-575.994,308.171,-978.224,3270.67,12386,-392.828,14269.1,-2151.96,11328,58718.6,1496.57
1.34E+06,243177,124.624,741.8,-9.58048,-624.218,80686,14063.3,-702.849,484.885,234.016,212.227,1526.7,235.586,514.289,24074.4,5568.26,3413.24,1693.57,62.3097,-944.16,2654.99,12.514,-22.522,-448.89
1.52E+06,639115,3089.33,44259.7,40667.1,-2865.4,6745.01,-168.783,234.463,2716.97,-436.338,-1259.69,4997.06,11.6161,-996.588,750.405,-449.495,6251.99,1591.95,649.523,-164.804,230.522,2825.28,441.094,1513.08
1.57E+06,652728,2884.58,30994.2,-374.518,-3066.72,45726.1,-867.341,-86.8232,-820.282,224.584,-654.06,-875.959,930.425,-1869.59,-1140.79,751.551,5564.89,13039.3,-134.131,8780.9,-1597.75,9611.37,56502.9,-2817.45
1.51E+06,306936,-1453.65,501.803,769.305,-2188.51,191247,-707.411,2892.85,22423.5,334.487,4346.82,489.411,842.518,445.771,2548.71,520.519,481.761,21745.6,-199.479,833.475,3.67941,0.797607,479.492,2233.7
1.57E+06,353779,-457.227,-19.8833,-149.063,-494.896,209.211,12443.2,828.253,7024.65,344.513,201.218,652.64,108.619,319.084,21985,244.963,3602.72,3251.08,580.786,-1214.13,7353.25,-375.102,22.6845,138.061
