FSC-A,SSC-A,DC-SIGN,HLA-DR,CD56,CCR6,CD45RA,CD4,CD69,CD8a,FoxP3,CD16,CD14,CD49a,CD163,CD3,CCR7,RORyt,T-bet,NKp46,CD11c,CD127,CD86,CD20,Eomes
1.91E+06,470774,-933.756,1474.98,22785.6,-909.035,36865.7,121.351,10139.1,119094,745.033,1161.81,488.757,551.435,318.403,20106.4,1156.01,3536.97,24164.3,1128.87,2294.41,-517.164,-848.797,560.212,-36.1421
1.99E+06,400283,-1520.86,0.480469,46.2092,-3158.64,153351,-561.478,2925.33,146192,457.495,710.341,930.5,2225.89,679.909,52019.3,2148.06,-929.151,52846.8,-982.939,1138.8,-51.0318,1570.78,167.502,207.492
1.86E+06,538305,-792.053,-122.476,-93.7824,-361.185,5151.58,4668.33,11662.6,777.01,-90.0737,-93.4287,1236.35,1073.04,91.8595,28714.3,1275.57,1388.38,2430.75,-116.631,-37.7012,803.536,1042.29,-72.2185,5790.38
1.49E+06,359376,-297.775,1136.1,1220.72,-1471.69,45199.5,-614.698,12122,199416,348.01,1315.85,498.328,2227.45,-683.08,37277.9,939.504,238.484,4699.87,-567.224,507.032,139.644,429.48,-55.5646,5117.19
1.73E+06,447562,1101.05,3927.06,125.655,-3947.48,1496.61,14824.1,27873.1,-398.765,-46.0868,289.675,493.173,3280.52,1653.61,87949,1506.51,3497.27,7402.51,-47.244,165.686,1269.81,547.794,-731.5,-1558.59
1.59E+06,469408,457.62,3455.61,200.72,-1269.78,10750.9,15660.2,4878.88,-423.561,472.051,1129.48,774.855,72692.2,-1225.8,57953.2,864.503,2496.34,3604.74,250.657,-1380.1,16141.9,743.575,718.015,-1330.51
1.41E+06,483517,-171.654,-311.877,50587.1,-89.0119,68111.9,-632.182,16679,82399.9,666.833,438.258,589.488,4372.4,82.0849,37547.2,-471.625,-966.628,16362.3,480.559,268.445,495.467,-363.792,702.531,1863.77
2.04E+06,505838,1813.4,602.044,-1218.67,-1414.86,158118,7388.59,20244.3,7073.29,55.9789,2432.76,1081.64,914.197,1047.34,119436,589.91,2142.91,28116,-442.557,289.429,1448.86,-88.4443,410.165,-1402.13
1.83E+06,540638,189.502,916.625,3224.05,-1688.84,6642.1,-509.062,10955,201977,463.612,484.353,372.924,23435.7,-708.854,44189.2,2172.84,2376.91,6165.12,-447.693,13.0613,364.703,902.061,735.969,-308.042
1.91E+06,527258,1005.74,2287.83,572.254,-3318.35,12619.5,12173.5,-1661.39,805.247,-372.921,268.913,839.145,4788.41,458.189,53057.3,20645.5,2149.99,4337.02,254.366,196.268,10927.2,809.956,-327.023,-1293.79
1.56E+06,404908,-823.08,2424.1,1558.28,-5300.83,580858,-1095.3,1487.15,100846,309.001,1189.99,2549.5,3150.36,222.267,16288.9,776.422,2987.5,5803.92,5.27283,1936.57,-363.226,785.539,670.987,3787.24
1.45E+06,707652,295.895,61371.2,11195.5,-955.296,102270,-1550.18,713.696,3329.1,273.418,7270.05,1012.98,-1356.31,-947.168,1949.22,-1420.39,-356.691,-234.545,-190.846,103039,498.722,5370.63,-220.61,1135.49
1.57E+06,1.48E+06,10459.8,242681,27255.3,2248.35,26688,2145.06,2677.47,-867.823,1530.7,8318.27,29658.3,3757.11,9700.17,3221.25,-8505.67,20469.1,523.763,5413.3,124086,6267.25,53008,-1645.24,6465.06
1.42E+06,448844,579.886,636.183,458.162,-1635.05,35358.7,-407.513,10100.2,68426,272.342,759.076,-48.3993,997.314,249.446,34099.5,2063.35,369.384,3320.11,-240.343,274.048,-250.066,382.789,-41.8775,-42.7508
1.54E+06,561279,1287.36,634.148,-683.569,-939.973,45572,-611.002,778.536,115949,637.036,126.257,207.905,635.822,516.777,42064.8,3540.95,2320.8,25313.5,-265.459,540.749,-1320.87,463.586,2155.14,-2370.23
1.50E+06,616669,-750.468,782.518,49297.9,-4151.01,494818,-671.774,7274.65,118032,2819.44,537.654,2985.72,2471.64,-67.4922,2615.31,3448.37,3254.16,2009.09,12705.9,3087.81,-276.365,451.465,8491.38,13143.6
1.60E+06,820678,328.203,91771.2,-130.172,-2174.5,157188,-654.215,300.64,1569.5,-407.038,8508.65,-352.371,-681.626,-1250.71,330.757,-456.857,878.358,-38.6332,17.562,70848.2,505.438,14903.6,-157.252,1198.17
2.61E+06,2.17E+06,755.398,742797,185276,-6337.54,80967.4,-680.582,2162.15,142.482,-1700.97,-3628.22,14585.2,-252.031,9506.82,1959.65,15936.2,6153.45,2477.06,-3110.34,27637.5,999.478,228882,90.4336,1894.23
1.38E+06,704958,-853.824,772.99,68987.5,-1639.26,316505,-816.401,7639.6,89477.8,318.204,-1020.31,598.462,1314.45,165.61,1680.43,910.301,869.44,4051.45,5225.13,1499.74,1270,791.26,6873.89,12728.4
1.39E+06,298115,-1015.74,39.7607,1160.85,3816.74,441231,-1853.95,1373.62,65731.4,1272.62,4248.54,2144.3,3560.79,-506.572,18802.8,243.76,-15921.2,2973.71,169.226,1806.75,284.576,552.779,11.2325,587.794
1.31E+06,362355,-316.394,-46.1143,237.862,-756.186,55161.9,14578.4,361.008,1582.71,-568.884,-162.883,681.233,-562.275,-847.446,63418.7,23792.3,635.923,1925.09,-202.165,-834.416,23542.9,-174.321,536.968,713.086
1.30E+06,356614,-160.722,845.119,656.03,-619.006,37006.9,16320.2,1334.31,6262.25,367.613,573.129,626.848,851.674,-302.968,40142.8,1201.17,2321.85,23706,-245.474,863.311,1623.82,75.0331,743.213,-1099.01
1.77E+06,404509,-544.115,2457.37,-414.624,-2773.5,99252.8,-62.1103,3081.26,87967.4,259.395,306.754,43.3242,-90.4716,754.261,35268,2959.17,2320.31,58174.2,-668.442,63.3537,142.307,1071.71,1942.48,-173.96
1.47E+06,562461,-660.93,6040.39,1309.8,16.7729,34786.6,-368.091,1659.88,102515,970.352,539.809,915.833,934.124,-1259.23,41944.4,1318.57,403.318,1047.33,40.4019,448.512,3190.98,684.232,578.134,1316.87
1.35E+06,559843,-55.8043,6105.09,995.608,-1639.08,88722.8,417.78,23868.4,4604.85,488.035,666.388,-127.094,1311.94,-182.552,60038.2,65.6061,930.949,4514.43,-1325.48,-312.546,-428.748,11277.1,-227.365,3561.47
2.23E+06,1.22E+06,-124.549,283983,27888.7,526.323,394.834,7586.86,642.837,-1117.63,74.1541,7278.88,32546.5,625.192,1760.25,521.67,-2347.17,9108.71,1522.72,-943.084,6774.46,-279.449,13869.5,1065.44,700.284
1.31E+06,474947,-1097.49,930.389,-708.088,-2757.37,213558,-1095.46,16322.2,79227.1,70.5948,1441.53,274.098,497.339,-88.4061,48985.7,2880.06,2632.61,32139.6,811.555,664.805,-392.839,-877.473,579.483,-76.8181
1.57E+06,545631,-971.311,-710.448,-454.129,-2393.53,101604,19170.2,3754.09,-1363.31,97.5374,-127.688,195.306,1954.79,531.86,60367.6,1773.56,1554.57,46583.9,338.856,-70.8686,-1771.3,-393.918,1306.69,-165.113
