"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes"
2.10031e+06,1.26722e+06,13468.3,746407,106250,-4192.49,88832.8,1520.81,1906.7,5988.48,-969.917,-1679.51,161802,-1648.33,23164.5,1997.39,2520.04,5236.92,1208.46,539.277,19755.3,1157.96,10057.4,74.6934,6427.95
1.62866e+06,717159,-711.38,-593.084,49084.1,-4324.6,759801,-2316.02,21013.3,9863.46,-203.579,1081.88,1643.4,3496.29,-238.774,3650.9,-301.227,1869.46,2514.17,6413.69,3926.16,-217.149,-439.389,228.191,6986.39
1.62747e+06,243563,-442.665,-133.044,-237.929,-2129.71,23964,-323.777,2486.1,47298.7,139.526,234.984,662.531,-90.2766,384.621,15984.2,520.161,1948.29,53355.4,-329.563,539.92,481.591,220.813,969.637,-131.666
1.36424e+06,310254,560.089,-247.174,-81.3324,-2618.25,13718.9,-289,24802,114982,-345.429,37.4644,-871.617,3436.44,-23.1296,22473.3,1638.01,2813.95,2312.1,-418.061,-71.6462,628.377,611.289,-471.827,6122.82
2.25005e+06,701293,293.621,954.862,99685.9,-4542.22,71927.8,217.357,15472.8,11178.6,-175.369,-446.37,269.957,416.842,987.945,898.309,934.416,5156.36,21426.5,2483.97,1494.22,1897.37,171.075,3380.06,1666.37
1.24132e+06,341825,-506.64,739.923,-183.512,-2554.86,16193.8,-350.371,4657.47,57850.8,2064.12,626.243,718.281,1779.89,843.258,14605.7,2021.03,747.948,20608.8,-509.457,-50.243,-5.73416,269.122,668.519,-299.313
1.57276e+06,508384,235.739,3764.15,347.203,-2243.24,2180.4,-398.94,38900.1,64843,193.929,789.235,1069.29,17336.5,741.206,27586.6,1185.28,2543.27,9516.94,511.691,740.711,945.165,231.924,82.1537,2711.14
1.87257e+06,289966,-1000.58,230.746,-56.279,-1177.21,45232.5,-506.915,4763.42,72722.3,-163.519,2997.78,731.412,-320.601,13.9638,13637.6,400.294,819.483,72577,-158.209,834.018,-83.0597,-164.969,212.398,274.925
1.63424e+06,1.71544e+06,9186.91,254300,47303.2,-5100.93,232541,-515.234,3282.23,2989.84,1176.34,1313.94,50946.9,4170.28,11147.2,3477.87,176.175,20206.7,2139.74,1018.31,92934,9208.87,111412,-816.854,6688.43
1.86466e+06,983438,16625.4,136421,67715.6,-5171.28,111395,513.857,-438.172,1309.27,-405.745,-340.462,56595.4,48.7982,11275.9,3671.02,1809.04,5307.1,2870.41,554.027,1354.59,4334.17,7814.84,-1521.4,7563.56
1.52823e+06,264244,34.0063,13607.6,89.2674,-3376.21,39346.4,395.782,-473.744,50940,138.474,-135.195,763.275,107.301,184.695,19114.3,1287.86,2270.2,1505.65,208.807,44.4887,781.923,180.432,-303.431,5972.33
1.29244e+06,334252,-855.572,390.312,105.358,-697.168,5051.47,-8.58195,12107.2,66520.4,-154.687,1429.17,277.368,750.047,-24.7558,14593.4,81.4012,2195.35,22928.2,-236.501,-147.293,-1162.09,556.473,633.19,379.025
2.2559e+06,1.27766e+06,1115.24,65071.8,850.309,-2380.06,-580.639,38398.6,1019.25,171.388,318.16,1416.99,101.137,3150.82,-441.963,2033.18,10208,11229.1,3264.41,-276.579,-1822.56,4142.86,2015.75,-664.312,496.521
1.25133e+06,482434,-695.942,1279.58,813.494,-1819.36,53854.9,-139.816,-123.439,129658,700.712,4275.83,-69.1999,1554.25,783.971,20101.1,1897.6,1772.09,60116.8,-611.328,-226.945,1256.13,262.175,-1258.35,1934.91
1.51926e+06,352268,43.0432,170.244,-72.617,220.845,23452.7,325.399,-212.757,130231,546.065,1055.9,491.15,707.106,-36.9097,10397,-459.66,2468.78,21365.6,1004.55,-829.459,3107.54,-868.469,887.413,-151.363
1.75806e+06,486239,197.003,581.574,-261.75,-2329.45,6525.63,11825,16599.9,-241.699,-64.6851,1420.5,501.069,8171.18,1891.45,25358.7,805.151,3930.07,8291.36,387.778,33.9395,5120.92,5785.09,-867.176,-1326.03
1.29462e+06,357967,-198.87,3472.78,-365.955,-2423.45,26596.7,-223.64,21199.8,95112.3,-340.264,607.826,1003.73,1308.04,438.108,31673.1,2804.97,1819.19,3241.19,1053.47,200.648,595.699,-742.699,204.299,6960.16
2.46834e+06,1.14479e+06,39765.9,199048,61191.1,-3027.14,89840.3,-67.3425,821.617,646.405,189.594,2444.11,57026.1,1279.35,9222.42,7289.7,-2187.77,14685.2,-2499.84,1141.9,4477.78,6143.4,9776.9,2934.75,17971.5
1.25299e+06,371184,990.156,744.777,-403.495,-2972.52,15743.3,-439.26,25351.5,90457.4,478.191,376.034,414.814,8733.17,974.812,15731.1,2239.73,3000.59,6406.79,-527.047,383.738,3701.38,1882.11,-1382.8,2459.97
1.7845e+06,348363,798.757,12039.2,-246.675,-2185.54,102883,226.488,22922.2,115703,-366.306,492.61,-84.6628,1268.26,379.944,28641.9,1321.26,2034.76,29396.9,-960.257,709.803,4354.73,1282.42,362.857,2754.86
1.72417e+06,400639,-388.588,-412.084,-485.478,-1718.12,31905.8,-928.759,2093.87,100154,-99.723,1518.31,-635.309,2227.32,269.127,18088.8,71.3479,3616.99,66531.5,1149.1,289.726,-2001.78,-545.733,1165.02,1577.24
1.65526e+06,475993,634.216,4533.46,1616.52,-3326.19,44757.6,-726.319,69800.4,87627.8,-120.486,1009.32,-249.734,3250.25,2748.88,20806.9,3441.8,3623.77,57544.5,-235.848,-47.2334,748.389,-116.262,1679.88,-942.632
1.24874e+06,386774,-5.60229,2672.73,-177.337,-1864.56,15297.6,424.93,1020.03,89163.5,187.503,913.367,1145.81,-104.208,759.122,11725,2507.7,1837.16,27122.5,-224.739,149.279,-291.11,-1.29614,376.311,-69.4288
1.99627e+06,394571,-789.535,4421.94,7764.57,-3160.04,5725.65,-463.886,21029.7,135421,431.125,902.503,-629.89,22277.2,144.996,30004.9,2879.97,1764.43,14980.9,480.353,470.984,13393.5,-365.413,-654.26,742.245
1.42601e+06,235006,96.2628,-172.7,-550.886,-2305.8,18035.9,441.215,-607.028,11163.2,-322.618,-540.227,908.055,-690.214,248.279,31482.2,1527.62,795.426,9338.1,966.434,-585.037,8949.36,-170.438,-778.281,-854.825
1.32552e+06,445996,-541.983,1045.51,98.4804,-2034.75,43097.6,-700.209,4843.28,118105,19.9539,319.956,109.567,1153.56,-994.813,22491.5,478.872,1204.76,34679.9,179.686,704.243,3988.31,-832.43,-484.826,344.353
1.27368e+06,289195,1008.56,-739.458,-392.034,-3886.49,27628.7,-248.973,22012.5,38476.9,1556.56,978.553,-460.342,275.68,267.845,29016.5,1204.61,3252.04,1637.06,-735.764,-1217.18,-11.2176,673.235,221.043,4561
1.5491e+06,417891,-807.126,479.639,-32.0447,-409.188,126672,-535.33,36569.8,72137,1500.08,1147.79,922.597,772.86,-131.542,20545.5,1138.24,-298.499,50722.6,545.001,302.741,2025.18,-911.235,-19.4431,-518.077
1.51975e+06,423512,-541.764,1859.8,1165.14,-2488.24,8052.28,373.653,18605,93356.4,-307.193,-741.254,-511.736,14979.9,-199.219,17705.7,1968.44,3510.46,9956.37,-425.835,-132.529,5017.38,143.841,-64.1456,3979.6
1.743e+06,956236,-771.648,47864.9,3236.89,-6553.9,364999,-1949.32,1205.43,-457.199,-623.909,63535.5,560.842,985.921,-922.431,1944.43,874.557,3878.27,1098.91,-641.069,111174,502.473,9128.83,-1554.72,1102.29
1.48868e+06,283250,553.529,1002.76,-191.499,-2222.18,845.682,6381.43,122.689,-18.7566,-247.738,98.0346,484.24,147.092,-196.888,14786.5,3698.22,680.841,3464.59,237.736,740.316,7001.3,316.031,-28.8282,156.699
1.37754e+06,458294,798.784,-870.077,548.384,-1767.92,2699.61,-308.094,-58.4316,59097.3,13.5076,539.106,384.643,532.697,-797.279,11324.5,-269.421,1881.16,26086.8,-235.819,-240.657,-1129.07,242.202,1495.98,-491.751
1.55776e+06,263540,-1038.39,-80.4067,-423.229,-2308.61,5446.51,12162.1,45596.1,-809.097,37.724,25.8975,-649.834,7447.46,1081.28,30084.3,512.538,4257.07,14328.7,-181.517,-631.877,1413.44,174.288,-634.524,-287.706
1.88894e+06,259216,-249.479,-612.336,163.062,-2229.09,13164.2,-461.223,1480.7,99326,-6.76793,-604.334,170.566,610.943,-1061.76,8825.72,-569.598,2044.56,65683.3,100.103,-223.813,-2059.26,-612.456,3217.85,-974.824
1.76467e+06,570058,8946.61,13125.1,3216.69,-3416.1,67120.5,-1774.02,191.909,41.4267,-131.459,678.305,717.197,-274.931,260.748,-244.225,-950.906,3608.62,-1565.19,826.428,52110.2,640.352,-125.573,1130.36,2492.53
1.29385e+06,316628,-269.836,1508.03,541.646,-1543.56,13544.9,438.605,-154.438,82428.6,252.094,155.528,395.171,953.105,431.779,8759.04,970.262,3603.39,52676.1,-665.395,-901.144,-1014.41,771.188,1312.27,1032.05
1.46634e+06,630447,935.763,8644.43,27.861,-5451.49,472497,-2650.18,33650.5,173381,467.721,-152.659,149.375,16096,1119.67,24243.1,1803.38,4016.95,14246.3,141.747,2114.92,-190.815,109.555,-807.62,8982.01
1.63645e+06,345796,1664.15,3274.25,-827.829,-2345.88,27629,19820.4,51675,-107.907,129.659,1201.35,-81.2793,17974.4,144.279,87859.3,-195.503,375.143,2824.26,275.283,798.132,5795.38,-527.713,427.412,1239.23
1.52869e+06,407050,-563.562,-1434.1,-153.779,-1620.2,38802,127.162,1721.31,80137.4,-20.1623,-361,1271.63,-591.287,-138.172,16736.2,354.386,1865.18,68452.7,-385.993,-32.6535,-1391.59,-41.052,1548.36,232.06
1.54969e+06,405255,248.395,-131.187,-262.955,-990.376,8536.23,14636.7,58.8926,2224,-186.474,-113.21,401.168,-177.946,273.387,40924.6,1132.01,2827.87,2493.72,146.287,-1126.17,21657.5,258.376,-314.705,6.69315
1.47259e+06,273540,-1967.43,690.589,352.112,-10757.7,330692,-1423.78,5783.79,55877,58.5606,128949,829.622,24.2227,-201.944,2392.86,1283.38,5844.37,70281.5,1025.55,4410.4,671.175,-848.018,-213.479,365.647
1.24816e+06,326284,600.307,8609.38,28438.8,-3797.97,631.302,-232.396,38998.5,42449.5,159.272,-521.594,69.7093,8574.54,2269.68,35556.1,1273.42,2077.44,4591.34,-100.665,-104.709,2293.16,108.697,-1579.56,1535.21
2.23201e+06,1.64373e+06,9228.98,1.1107e+06,161550,-9313.73,-4163.62,1702.09,1066.16,-4927.53,-5622.95,-4276.43,26589.1,12256.6,10220.7,7346.79,37277.9,3657.24,6098.61,-1569.26,45982.4,6128.64,30423.9,-2785.36,6853.95
1.77655e+06,283476,-86.9263,3246.65,-637.087,-1707.54,19074.2,-708.294,15651.4,105900,-243.187,447.111,265.683,24104.5,-781.688,28920,3160.29,3380.25,21472.6,238.95,-356.975,3134.85,1509.01,-1044.69,4178.04
1.39588e+06,345878,-112.654,-850.015,-631.402,-2773.53,191397,216.907,6248.59,82009.9,-433.915,1413.98,2848.78,-338.736,1685.16,14801.4,3104.4,4068.76,20081.3,-525.31,160.64,448.663,1164.65,353.593,-752.94
2.53977e+06,1.62659e+06,9014.24,684924,129157,-6342.72,309496,1541.09,3322.82,2714.11,-814.845,-1305.56,117034,-327.374,4061.27,3166.11,3979.62,5401.02,1477.04,-1301.28,14851.1,2916.37,16775.9,-514.953,6923.88
2.31329e+06,1.8097e+06,25855.1,133505,54243.7,745.174,48026.9,-784.313,201.994,1033.94,-59.0099,429.328,77634.9,239.309,8816.02,4120.77,-1489.37,15871,863.654,1199.93,5488.37,7034.58,9863.95,-20.687,10403.9
1.57996e+06,373174,144.086,-1037.17,52874,-2878,416882,-1522.36,13899.4,18266.9,167.068,489.069,-68.0291,1782.31,-255.85,13091,272.852,-7030.06,12407.4,504.944,445.83,1564.65,366.576,1901.61,3603.6
1.38401e+06,461610,-1863.09,2145.45,-333.496,-2554.35,14270.3,-698.608,241.455,76163.1,-254.813,-244.399,-109.054,781.041,464.48,24215.8,1460.53,2503.13,58506.6,1410.34,299.343,-1042.72,-1535.06,404.181,8.70172
1.5602e+06,272966,-1069.13,351.522,-1069.19,609.453,11494.6,11670.6,532.683,1436.99,-338.986,-999.98,-269.405,717.46,-453.402,40204.9,12894.5,1474.41,1362.71,-430.641,-740.178,23313.4,393.708,244.388,227.991
1.45889e+06,387140,-939.553,1085.95,-651.332,-1689.28,185657,570.892,-162.949,69732.2,-82.1878,-229.591,-864.969,2423.92,676.88,10797.5,1882.24,4404.64,10234.5,829.166,463.783,2341.96,-421.388,586.685,574.763
1.60188e+06,340274,-555.662,-172.766,-222.962,-2286.87,5123.39,-421.263,20084.6,20103.4,-363.641,68.2453,-520.879,12505.8,404.889,10433.4,-50.9402,3266.07,14866.8,69.9227,-852.369,174.655,162.886,-51.4174,1735.94
1.63442e+06,295528,-928.987,543.581,276.642,-1645.1,15334,283.93,6654.53,44720,-173.302,-482.232,-591.944,1228.41,3.962,4816.11,260.375,2567.77,36493.8,45.0781,-560.062,-444.877,-417.44,1340.27,-25.1872
1.72506e+06,369221,96.2197,3236.11,23.3093,-3404.18,7379.8,-479.515,22901.9,84305.4,-455.296,1431.18,22.398,4036.02,1284.89,20122.7,1451.32,2995.41,6863.13,629.856,274.292,1742.71,345.52,-66.8834,4926.58
1.77081e+06,319738,-289.961,-413.872,1004.34,-2454.31,5025.41,-244.211,656.718,34261.5,-82.851,235.589,-187.863,323.517,-777.425,18635.7,1577.72,2013.88,50855.2,409.43,-15.2968,1218.46,-754.843,272.659,-778.629
1.53394e+06,389012,-422.373,-106.465,20102.2,-3093.76,11549.7,-488.863,16206.1,39419.6,-397.833,-579.754,-56.6057,18466.7,493.77,31597.6,980.89,3382.33,4688.23,184.418,-48.8277,-210.442,1961.21,-521.639,2441.5
1.90755e+06,295505,1497.1,-388.961,-548.89,-3465.28,20046.6,-267.901,-335.57,79969,-211.949,2241.25,35.1048,540.744,-927.936,13839.3,1209.53,3233.72,69186.6,-1319.67,-430.302,-657.467,1710.91,3701.11,-2049.47
