"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
1.29393e+06,596393,1187.31,45479,349.383,30139.5,-715.751,97871.4,7.24532,53.6057,-756.839,42.543,-70.684,-165.88,-343.075,-972.726,2320.85,-729.648,2803.73,50595.3,-2017.81,56912.9,1464.65,3738.93,115831,561.721,2.8477
1.40519e+06,393627,994.715,519.141,127588,36193.3,131.452,501.308,-1507.67,8539.68,15954.3,320.188,-181.714,-925.489,47112.3,-909.671,576.299,684.418,2013.9,2890.86,5645.1,19887.6,405.339,1062.61,3731.5,-109.153,2.90971
1.47966e+06,375325,-773.586,134.469,-636.808,81177.5,-2144.36,3421.5,12169.3,13885.4,35.3282,121.525,809.656,268.728,27248.6,98.9611,97231.2,1433.93,2063.79,25248.7,15.3019,-1036.59,-764.374,-21.3552,514.424,234.865,2.91762
1.32788e+06,391001,-181.156,1212.37,85102.5,34035.7,381.856,292781,-146.83,14382.2,12553.7,-152.362,1021.22,1725.97,2844.6,501.137,1635.55,523.345,2624.54,544.484,7168.15,2793.27,331.008,-1164.51,2903.14,9235.75,3.17439
1.38529e+06,484274,-294.333,569.373,16455.7,41564.6,-855.51,276424,-1614.65,24016.7,15408,304.875,2827.7,872.858,12030.6,327.812,2185.51,138.714,-53.9934,11831.3,1173.59,5084.63,6.12823,-437.588,4571.98,390.075,3.24821
2.34276e+06,1.19048e+06,498.501,59849.1,157094,72340.1,-2077.33,22878,-390.015,618.134,2622.18,-39.3472,-643.7,9257.09,929.135,7324.69,517.605,1406.11,1907.72,1217.41,118.815,1066.61,377.314,13992.1,473.617,981.69,3.26881
1.4727e+06,537799,-902.483,87.8564,7932.78,37972.6,-2908.81,403599,-1451.26,18251.2,53959.7,8.09538,706.241,815.406,11650.4,615.816,16938,909.75,979.361,12307.2,-643.548,3176.34,555.924,2615.21,-163.837,2912.41,3.32113
1.78566e+06,1.68529e+06,5370.61,10148.9,56634.8,80409.7,-2294.01,15016.2,-419.03,381.094,-445.318,-149.402,1121.54,83250,-67.9559,2928.94,2649.22,329.167,3183.97,604.193,476.999,5597.15,2593.08,2379.24,-834.371,4312.45,3.34684
1.57576e+06,536419,-424.695,481.628,-52.1075,109246,-1896.46,2028.99,9213.58,5131.53,-463.099,2917.04,737.159,145.708,1201.74,182.012,57462.5,1453.81,1455.95,6432.54,-27.8208,168.977,673.427,-235.271,-966.106,328.851,3.35144
1.64373e+06,787492,1263.16,879.51,-362.457,74912.4,-1518.79,2795.85,20392.1,18070.2,-645.181,-194.721,63.0297,-398.242,24752.7,865.669,75011.4,2408.16,1518.14,25093.7,849.75,-185.588,2870.82,-566.844,-621.39,287.908,3.37644
