"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
1.47722e+06,582900,858.544,3532.51,-212.105,77859.5,-2707.19,3671.24,18435.4,14654,1354.54,-170.604,1347.25,-102.984,36903.6,1231.4,32382.4,1255.44,2900.92,9326.09,88.911,234.026,11600,709.605,44.107,-824.112,2.11077
1.54292e+06,298732,-337.509,427.719,-551.72,43636.8,-664.016,76131.3,66.5527,18105.4,81993.7,506.147,938.81,578.013,1138.06,-27.6284,30720.4,603.98,2536.45,12052.3,587.076,-266.864,-443.397,544.355,457.812,1336.09,2.11728
1.52904e+06,993146,31028.1,144370,128491,76094.6,-2161.9,289416,579.411,525.692,1650.35,371.775,2832.87,38149.2,1455.13,14044.3,4790.98,-3081.43,10023.3,1459.4,1888.68,529.104,5028.91,8584.98,1126.76,13762.5,2.16125
1.88248e+06,344545,205.603,311.578,16001.5,49322.8,-1481.12,182565,-1520.15,28967.7,20385.9,172.977,1661.84,404.438,7035.69,206.968,2024.95,188.284,655.594,11992.6,1883.98,932.914,172.024,188.646,1232.93,5513.75,2.18008
1.25258e+06,351203,41.2349,2516.57,-842.034,42633.6,-2996.19,17346.4,-0.890354,64.5876,93410.6,443.023,194.607,-930.224,976.497,612.795,15619.6,2415.91,2133.6,35698.8,-204.643,-487.154,-605.688,605.777,1369.87,-1402.75,2.20252
1.47853e+06,303229,-139.958,-967.498,-51.1962,33888.6,-2537.4,18212.4,-224.971,1032.46,85963.5,-82.1806,-182.583,-206.917,1104.38,-171.856,9179.54,602.583,1091.75,36777.1,-400.733,-400.697,385.099,278.455,-76.6424,675.673,2.45183
1.94098e+06,352422,66.2504,6787.15,11.748,66287.8,-4324.35,24461.8,-1007.65,33995.1,46960.3,-837.163,973.778,1102.31,501.33,1810.27,40173.8,2904.3,1872.22,2295.87,-19.3254,-53.0136,486.028,272.216,-1178.15,3771.04,2.48128
1.53241e+06,269445,856.104,-109.695,-651.273,50801.3,-3360.91,45515.6,15420,-486.512,-534.776,-579.476,-45.1925,-113.339,1575.07,213.455,70190,17664.3,688.513,118.648,30.3576,-5.25628,20532.7,593.178,-86.3172,-2038.43,2.5584
2.10031e+06,1.26722e+06,13468.3,746407,106250,109504,-4192.49,88832.8,1520.81,1906.7,5988.48,-969.917,-1679.51,161802,-1648.33,23164.5,1997.39,2520.04,5236.92,1208.46,539.277,19755.3,1157.96,10057.4,74.6934,6427.95,2.63242
1.62866e+06,717159,-711.38,-593.084,49084.1,38954.5,-4324.6,759801,-2316.02,21013.3,9863.46,-203.579,1081.88,1643.4,3496.29,-238.774,3650.9,-301.227,1869.46,2514.17,6413.69,3926.16,-217.149,-439.389,228.191,6986.39,2.66778
1.62747e+06,243563,-442.665,-133.044,-237.929,50431.1,-2129.71,23964,-323.777,2486.1,47298.7,139.526,234.984,662.531,-90.2766,384.621,15984.2,520.161,1948.29,53355.4,-329.563,539.92,481.591,220.813,969.637,-131.666,2.67349
1.36424e+06,310254,560.089,-247.174,-81.3324,52792.3,-2618.25,13718.9,-289,24802,114982,-345.429,37.4644,-871.617,3436.44,-23.1296,22473.3,1638.01,2813.95,2312.1,-418.061,-71.6462,628.377,611.289,-471.827,6122.82,2.69683
1.76199e+06,368579,-930.336,-573.924,597.465,44179.3,-1185.52,31696.5,-924.18,568.089,46534.5,-275.2,178.081,-267.22,892.857,28.2129,19508.5,-299.081,933.418,33552.3,221.814,267.359,-943.945,-138.898,742.083,875.479,2.77836
2.25005e+06,701293,293.621,954.862,99685.9,38215.2,-4542.22,71927.8,217.357,15472.8,11178.6,-175.369,-446.37,269.957,416.842,987.945,898.309,934.416,5156.36,21426.5,2483.97,1494.22,1897.37,171.075,3380.06,1666.37,2.84007
1.24132e+06,341825,-506.64,739.923,-183.512,35966,-2554.86,16193.8,-350.371,4657.47,57850.8,2064.12,626.243,718.281,1779.89,843.258,14605.7,2021.03,747.948,20608.8,-509.457,-50.243,-5.73416,269.122,668.519,-299.313,2.88734
1.82327e+06,533617,-2853.68,570.709,-250.373,34894.9,-3300.78,18970.8,-705.664,-635.535,125781,-357.719,-144.397,905.748,-695.401,1991.43,10471.6,3938.43,1772.29,79438.8,-202.838,1071.74,488.325,908.326,-434.767,905.259,2.89606
1.57276e+06,508384,235.739,3764.15,347.203,61954.6,-2243.24,2180.4,-398.94,38900.1,64843,193.929,789.235,1069.29,17336.5,741.206,27586.6,1185.28,2543.27,9516.94,511.691,740.711,945.165,231.924,82.1537,2711.14,2.92821
2.03875e+06,309605,-703.398,-457.413,79477.1,42196.7,-3813.68,357209,-1017.88,37741.5,3361.27,-114.73,-437.712,707.192,195.945,1208.95,1774.59,-431.094,1316.32,1528.6,303.955,3546.88,655.939,141.814,727.661,10585.8,2.94684
1.87257e+06,289966,-1000.58,230.746,-56.279,29267.3,-1177.21,45232.5,-506.915,4763.42,72722.3,-163.519,2997.78,731.412,-320.601,13.9638,13637.6,400.294,819.483,72577,-158.209,834.018,-83.0597,-164.969,212.398,274.925,3.01595
1.63424e+06,1.71544e+06,9186.91,254300,47303.2,100649,-5100.93,232541,-515.234,3282.23,2989.84,1176.34,1313.94,50946.9,4170.28,11147.2,3477.87,176.175,20206.7,2139.74,1018.31,92934,9208.87,111412,-816.854,6688.43,3.07385
1.86466e+06,983438,16625.4,136421,67715.6,51952.6,-5171.28,111395,513.857,-438.172,1309.27,-405.745,-340.462,56595.4,48.7982,11275.9,3671.02,1809.04,5307.1,2870.41,554.027,1354.59,4334.17,7814.84,-1521.4,7563.56,3.08336
1.52823e+06,264244,34.0063,13607.6,89.2674,46092.9,-3376.21,39346.4,395.782,-473.744,50940,138.474,-135.195,763.275,107.301,184.695,19114.3,1287.86,2270.2,1505.65,208.807,44.4887,781.923,180.432,-303.431,5972.33,3.1026
1.29244e+06,334252,-855.572,390.312,105.358,32178,-697.168,5051.47,-8.58195,12107.2,66520.4,-154.687,1429.17,277.368,750.047,-24.7558,14593.4,81.4012,2195.35,22928.2,-236.501,-147.293,-1162.09,556.473,633.19,379.025,3.14737
1.79735e+06,609549,-692.464,1900.12,105073,41844.9,-6632.2,800750,317.865,24308.5,32699.6,-542.881,1902.57,1909.59,5222.72,1148.15,7317.79,1719.83,14044.8,21446.9,612.401,808.482,1146.67,-207.598,-1424.55,5941.65,3.15779
1.25133e+06,482434,-695.942,1279.58,813.494,34057.2,-1819.36,53854.9,-139.816,-123.439,129658,700.712,4275.83,-69.1999,1554.25,783.971,20101.1,1897.6,1772.09,60116.8,-611.328,-226.945,1256.13,262.175,-1258.35,1934.91,3.20356
1.51926e+06,352268,43.0432,170.244,-72.617,27890.6,220.845,23452.7,325.399,-212.757,130231,546.065,1055.9,491.15,707.106,-36.9097,10397,-459.66,2468.78,21365.6,1004.55,-829.459,3107.54,-868.469,887.413,-151.363,3.31745
1.75806e+06,486239,197.003,581.574,-261.75,63619.3,-2329.45,6525.63,11825,16599.9,-241.699,-64.6851,1420.5,501.069,8171.18,1891.45,25358.7,805.151,3930.07,8291.36,387.778,33.9395,5120.92,5785.09,-867.176,-1326.03,3.34469
